"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Limit Of Detection 001","Poor Linearity","LOD",0.856276,70.3119934809007,0.00880061754287076,624.766764646279,0.733209,0.67985,22.8111591223366
"Limit Of Detection 002","Poor Linearity","LOD",0.914919,78.0303786257518,0.00899380624669095,310.270466352474,0.837077,0.804492,22.5295951557835
"Limit Of Detection 003","Poor Linearity","LOD",0.833259,67.3383398290427,0.0209449820499744,1027.27442774386,0.694321,0.633186,13.6457157039144
"Limit Of Detection 004","Poor Linearity","LOD",0.89304,74.2312517067304,0.0122048840419693,1310.00848122846,0.797521,0.757025,18.8790384167438
"Limit Of Detection 005","Good Linearity","Good Linearity",0.945341,81.6861893354809,0.00676175707240742,143.453670237996,0.89367,0.872404,26.4843571657809
"Limit Of Detection 006","Poor Linearity","LOD",0.861189,70.366675353462,0.00569151265954863,626.097176259868,0.741647,0.689977,29.1619776542489
"Limit Of Detection 007","Poor Linearity","LOD",0.852538,69.1594632514643,0.0110698868977172,1392.56304212543,0.726821,0.672185,19.9859278246705
"Limit Of Detection 008","Poor Linearity","LOD",0.866636,72.0295737347985,0.0164819245874776,880.878943542452,0.751058,0.70127,15.7935835220462
"Limit Of Detection 009","Poor Linearity","LOD",0.924372,79.4754777051441,0.000494259287484968,686.342265991171,0.854463,0.825356,106.853171684489
"Limit Of Detection 010","Poor Linearity","LOD",0.854795,68.8626163200348,0.00583005919743296,1281.90890059125,0.730674,0.676809,28.7742047862585
"Limit Of Detection 011","Poor Linearity","LOD",0.888434,73.7038175423016,0.00636783228403427,1566.48359060729,0.789316,0.747179,27.3909983054215
"Limit Of Detection 012","Poor Linearity","LOD",0.905774,76.5930485757998,0.0188577783739642,1148.97651714744,0.820427,0.784513,14.5548052787492
"Limit Of Detection 013","Poor Linearity","LOD",0.897236,75.8233025229589,0.00708002646052886,1324.01712227796,0.805032,0.766038,25.8078385929598
"Limit Of Detection 014","Poor Linearity","LOD",0.917355,78.2661170135955,0.00150966611822837,1325.43603573265,0.841541,0.809849,59.7229438669643
"Limit Of Detection 015","Poor Linearity","LOD",0.85041,70.1222222449083,0.00842740634062053,1402.398265332,0.723197,0.667837,23.3822937335126
