"ID","Curve Batch Name","x","y","Sample Name"
"Noise Regime 001","Noise Regime",0,341862.517220382,"0"
"Noise Regime 001","Noise Regime",30,587736.40560243,"30"
"Noise Regime 001","Noise Regime",60,912295.723961935,"60"
"Noise Regime 001","Noise Regime",90,1675864.30214834,"90"
"Noise Regime 001","Noise Regime",120,2521981.01857333,"120"
"Noise Regime 001","Noise Regime",150,6042246.8080865,"150"
"Noise Regime 001","Noise Regime",180,12505868.4514712,"180"
"Noise Regime 002","Noise Regime",0,226245.073698185,"0"
"Noise Regime 002","Noise Regime",30,373058.901972512,"30"
"Noise Regime 002","Noise Regime",60,1106135.06019981,"60"
"Noise Regime 002","Noise Regime",90,1498571.60339726,"90"
"Noise Regime 002","Noise Regime",120,2982819.37043199,"120"
"Noise Regime 002","Noise Regime",150,4253417.78053649,"150"
"Noise Regime 002","Noise Regime",180,8117274.3186481,"180"
"Noise Regime 003","Noise Regime",0,602082.478206708,"0"
"Noise Regime 003","Noise Regime",30,835660.595263091,"30"
"Noise Regime 003","Noise Regime",60,1801825.89102666,"60"
"Noise Regime 003","Noise Regime",90,1995943.81249791,"90"
"Noise Regime 003","Noise Regime",120,4899737.85864147,"120"
"Noise Regime 003","Noise Regime",150,7790435.9928013,"150"
"Noise Regime 003","Noise Regime",180,20548000.1690796,"180"
"Noise Regime 004","Noise Regime",0,924035,"0"
"Noise Regime 004","Noise Regime",30,2029477.87913387,"30"
"Noise Regime 004","Noise Regime",60,3581608.45134632,"60"
"Noise Regime 004","Noise Regime",90,4837107.80191877,"90"
"Noise Regime 004","Noise Regime",120,10839597.8343505,"120"
"Noise Regime 004","Noise Regime",150,15139923.3128876,"150"
"Noise Regime 004","Noise Regime",180,31405703.2491274,"180"
"Noise Regime 005","Noise Regime",0,195844.633590192,"0"
"Noise Regime 005","Noise Regime",30,279755.338953554,"30"
"Noise Regime 005","Noise Regime",60,400157.58349516,"60"
"Noise Regime 005","Noise Regime",90,836669.971140555,"90"
"Noise Regime 005","Noise Regime",120,2115404.16755761,"120"
"Noise Regime 005","Noise Regime",150,3225633.9752103,"150"
"Noise Regime 005","Noise Regime",180,4151847.88795241,"180"
"Noise Regime 006","Noise Regime",0,364940.050263955,"0"
"Noise Regime 006","Noise Regime",30,601837.510964467,"30"
"Noise Regime 006","Noise Regime",60,876892.011217103,"60"
"Noise Regime 006","Noise Regime",90,1399723.7043332,"90"
"Noise Regime 006","Noise Regime",120,2908760.07623799,"120"
"Noise Regime 006","Noise Regime",150,6081570.87587653,"150"
"Noise Regime 006","Noise Regime",180,12492819.4707249,"180"
"Noise Regime 007","Noise Regime",0,765471.418844989,"0"
"Noise Regime 007","Noise Regime",30,1210184.36411985,"30"
"Noise Regime 007","Noise Regime",60,2391608.80902617,"60"
"Noise Regime 007","Noise Regime",90,3019086.99135055,"90"
"Noise Regime 007","Noise Regime",120,6583727.95137606,"120"
"Noise Regime 007","Noise Regime",150,12433060.5386541,"150"
"Noise Regime 007","Noise Regime",180,28090553.4274133,"180"
"Noise Regime 008","Noise Regime",0,493639.942031645,"0"
"Noise Regime 008","Noise Regime",30,1047546.88147358,"30"
"Noise Regime 008","Noise Regime",60,1419590.25921673,"60"
"Noise Regime 008","Noise Regime",90,3229184.88824018,"90"
"Noise Regime 008","Noise Regime",120,5080603.07894167,"120"
"Noise Regime 008","Noise Regime",150,8375946.40762461,"150"
"Noise Regime 008","Noise Regime",180,19308713.5978174,"180"
"Noise Regime 009","Noise Regime",0,553589.428661523,"0"
"Noise Regime 009","Noise Regime",30,823186.743931301,"30"
"Noise Regime 009","Noise Regime",60,1509597.28178865,"60"
"Noise Regime 009","Noise Regime",90,3570722.56630636,"90"
"Noise Regime 009","Noise Regime",120,5677390.06077899,"120"
"Noise Regime 009","Noise Regime",150,11047496.9772053,"150"
"Noise Regime 009","Noise Regime",180,16992676.0917106,"180"
"Noise Regime 010","Noise Regime",0,598887,"0"
"Noise Regime 010","Noise Regime",30,1193606.62398574,"30"
"Noise Regime 010","Noise Regime",60,1744652.92920156,"60"
"Noise Regime 010","Noise Regime",90,2284759.84683863,"90"
"Noise Regime 010","Noise Regime",120,5271814.64937878,"120"
"Noise Regime 010","Noise Regime",150,12274992.5193762,"150"
"Noise Regime 010","Noise Regime",180,24821264.0015588,"180"
"Noise Regime 011","Noise Regime",0,950562,"0"
"Noise Regime 011","Noise Regime",30,2190478.94812179,"30"
"Noise Regime 011","Noise Regime",60,2950579.98173113,"60"
"Noise Regime 011","Noise Regime",90,6186805.12859113,"90"
"Noise Regime 011","Noise Regime",120,9650076.19581536,"120"
"Noise Regime 011","Noise Regime",150,18237593.4803163,"150"
"Noise Regime 011","Noise Regime",180,35244507.699383,"180"
"Noise Regime 012","Noise Regime",0,826954,"0"
"Noise Regime 012","Noise Regime",30,1400626.50820259,"30"
"Noise Regime 012","Noise Regime",60,1490365.04463867,"60"
"Noise Regime 012","Noise Regime",90,6405083.0761934,"90"
"Noise Regime 012","Noise Regime",120,11563871.97712,"120"
"Noise Regime 012","Noise Regime",150,13866615.7065271,"150"
"Noise Regime 012","Noise Regime",180,29502179.6132792,"180"
"Noise Regime 013","Noise Regime",0,933675.656083511,"0"
"Noise Regime 013","Noise Regime",30,1763042.9543817,"30"
"Noise Regime 013","Noise Regime",60,2262741.60112969,"60"
"Noise Regime 013","Noise Regime",90,6812012.55371089,"90"
"Noise Regime 013","Noise Regime",120,7429727.60093751,"120"
"Noise Regime 013","Noise Regime",150,18155633.715562,"150"
"Noise Regime 013","Noise Regime",180,30350554.7969683,"180"
"Noise Regime 014","Noise Regime",0,941483,"0"
"Noise Regime 014","Noise Regime",30,1460385.76254728,"30"
"Noise Regime 014","Noise Regime",60,3886670.78004882,"60"
"Noise Regime 014","Noise Regime",90,5772144.35729685,"90"
"Noise Regime 014","Noise Regime",120,10781735.166714,"120"
"Noise Regime 014","Noise Regime",150,19504983.1933801,"150"
"Noise Regime 014","Noise Regime",180,32517868.9141729,"180"
"Noise Regime 015","Noise Regime",0,624580.344960543,"0"
"Noise Regime 015","Noise Regime",30,752036.076038356,"30"
"Noise Regime 015","Noise Regime",60,1572586.00040198,"60"
"Noise Regime 015","Noise Regime",90,3052267.38376874,"90"
"Noise Regime 015","Noise Regime",120,5559332.79217975,"120"
"Noise Regime 015","Noise Regime",150,12279495.8889496,"150"
"Noise Regime 015","Noise Regime",180,27300646.6094233,"180"
"Noise Regime 016","Noise Regime",0,66725.4704035567,"0"
"Noise Regime 016","Noise Regime",30,129559.16456695,"30"
"Noise Regime 016","Noise Regime",60,177131.697599941,"60"
"Noise Regime 016","Noise Regime",90,376010.564040056,"90"
"Noise Regime 016","Noise Regime",120,775925.299551346,"120"
"Noise Regime 016","Noise Regime",150,1210140.62156304,"150"
"Noise Regime 016","Noise Regime",180,2217000.85139004,"180"
"Noise Regime 017","Noise Regime",0,248054,"0"
"Noise Regime 017","Noise Regime",30,414312.549791576,"30"
"Noise Regime 017","Noise Regime",60,806447.026932333,"60"
"Noise Regime 017","Noise Regime",90,1924468.36299529,"90"
"Noise Regime 017","Noise Regime",120,3092700.19033025,"120"
"Noise Regime 017","Noise Regime",150,4298814.25335636,"150"
"Noise Regime 017","Noise Regime",180,7383143.69251839,"180"
"Noise Regime 018","Noise Regime",0,1104971.99586469,"0"
"Noise Regime 018","Noise Regime",30,1752486.07691841,"30"
"Noise Regime 018","Noise Regime",60,2737069.33796796,"60"
"Noise Regime 018","Noise Regime",90,6311386.9792711,"90"
"Noise Regime 018","Noise Regime",120,9952927.68179942,"120"
"Noise Regime 018","Noise Regime",150,15394827.3197188,"150"
"Noise Regime 018","Noise Regime",180,36052248.150024,"180"
"Noise Regime 019","Noise Regime",0,540138.244565271,"0"
"Noise Regime 019","Noise Regime",30,950592.128533984,"30"
"Noise Regime 019","Noise Regime",60,1517878.49518868,"60"
"Noise Regime 019","Noise Regime",90,3329291.70128498,"90"
"Noise Regime 019","Noise Regime",120,4692151.15735639,"120"
"Noise Regime 019","Noise Regime",150,7659611.87495986,"150"
"Noise Regime 019","Noise Regime",180,18438131.8070916,"180"
"Noise Regime 020","Noise Regime",0,847055.871916065,"0"
"Noise Regime 020","Noise Regime",30,931409.726411684,"30"
"Noise Regime 020","Noise Regime",60,2129110.64647743,"60"
"Noise Regime 020","Noise Regime",90,4239301.43921716,"90"
"Noise Regime 020","Noise Regime",120,7978371.5526786,"120"
"Noise Regime 020","Noise Regime",150,12538283.3969017,"150"
"Noise Regime 020","Noise Regime",180,20331889.2192859,"180"
"Noise Regime 021","Noise Regime",0,209644.710183196,"0"
"Noise Regime 021","Noise Regime",30,317328.085133334,"30"
"Noise Regime 021","Noise Regime",60,373821.059073503,"60"
"Noise Regime 021","Noise Regime",90,1192198.99234901,"90"
"Noise Regime 021","Noise Regime",120,1935243.55745014,"120"
"Noise Regime 021","Noise Regime",150,3245372.13787096,"150"
"Noise Regime 021","Noise Regime",180,5927466.68991417,"180"
"Noise Regime 022","Noise Regime",0,52120.4695684495,"0"
"Noise Regime 022","Noise Regime",30,84538.6267436171,"30"
"Noise Regime 022","Noise Regime",60,173557.801160908,"60"
"Noise Regime 022","Noise Regime",90,261209.510146975,"90"
"Noise Regime 022","Noise Regime",120,569855.472085517,"120"
"Noise Regime 022","Noise Regime",150,1175448.72019043,"150"
"Noise Regime 022","Noise Regime",180,1977146.9438189,"180"
"Noise Regime 023","Noise Regime",0,171394,"0"
"Noise Regime 023","Noise Regime",30,314867.465662032,"30"
"Noise Regime 023","Noise Regime",60,621736.880508622,"60"
"Noise Regime 023","Noise Regime",90,870769.772428941,"90"
"Noise Regime 023","Noise Regime",120,2333067.35640356,"120"
"Noise Regime 023","Noise Regime",150,2908209.40612215,"150"
"Noise Regime 023","Noise Regime",180,6427578.0630279,"180"
"Noise Regime 024","Noise Regime",0,305425.269311789,"0"
"Noise Regime 024","Noise Regime",30,529296.121415526,"30"
"Noise Regime 024","Noise Regime",60,1063087.74078448,"60"
"Noise Regime 024","Noise Regime",90,1533933.14755592,"90"
"Noise Regime 024","Noise Regime",120,2666955.11323042,"120"
"Noise Regime 024","Noise Regime",150,5433187.35197298,"150"
"Noise Regime 024","Noise Regime",180,10883391.4685225,"180"
"Noise Regime 025","Noise Regime",0,1132741.8877031,"0"
"Noise Regime 025","Noise Regime",30,1746929.0290007,"30"
"Noise Regime 025","Noise Regime",60,3211417.13471024,"60"
"Noise Regime 025","Noise Regime",90,5332511.14878551,"90"
"Noise Regime 025","Noise Regime",120,10157754.155485,"120"
"Noise Regime 025","Noise Regime",150,14504675.2103713,"150"
"Noise Regime 025","Noise Regime",180,34939896.3567173,"180"
"Noise Regime 026","Noise Regime",0,597178,"0"
"Noise Regime 026","Noise Regime",30,980142.195835489,"30"
"Noise Regime 026","Noise Regime",60,1917542.08262795,"60"
"Noise Regime 026","Noise Regime",90,3413904.9253485,"90"
"Noise Regime 026","Noise Regime",120,7663657.92735248,"120"
"Noise Regime 026","Noise Regime",150,12371149.9379834,"150"
"Noise Regime 026","Noise Regime",180,23273747.7127946,"180"
"Noise Regime 027","Noise Regime",0,1096575.27042486,"0"
"Noise Regime 027","Noise Regime",30,1670739.13603323,"30"
"Noise Regime 027","Noise Regime",60,2591327.88405817,"60"
"Noise Regime 027","Noise Regime",90,5668700.73451672,"90"
"Noise Regime 027","Noise Regime",120,11160320.1417334,"120"
"Noise Regime 027","Noise Regime",150,14253761.0270736,"150"
"Noise Regime 027","Noise Regime",180,41083338.0283777,"180"
"Noise Regime 028","Noise Regime",0,837413.7001699,"0"
"Noise Regime 028","Noise Regime",30,1320356.87485979,"30"
"Noise Regime 028","Noise Regime",60,2261375.74600735,"60"
"Noise Regime 028","Noise Regime",90,3143109.94431838,"90"
"Noise Regime 028","Noise Regime",120,6598035.23259672,"120"
"Noise Regime 028","Noise Regime",150,14309271.2021347,"150"
"Noise Regime 028","Noise Regime",180,29493843.8362922,"180"
"Noise Regime 029","Noise Regime",0,102478.971006125,"0"
"Noise Regime 029","Noise Regime",30,187275.926888901,"30"
"Noise Regime 029","Noise Regime",60,233680.370787348,"60"
"Noise Regime 029","Noise Regime",90,550341.790832186,"90"
"Noise Regime 029","Noise Regime",120,791254.879219848,"120"
"Noise Regime 029","Noise Regime",150,1674276.01413451,"150"
"Noise Regime 029","Noise Regime",180,3542222.97953136,"180"
"Noise Regime 030","Noise Regime",0,963656,"0"
"Noise Regime 030","Noise Regime",30,1654064.16925558,"30"
"Noise Regime 030","Noise Regime",60,2730981.27577828,"60"
"Noise Regime 030","Noise Regime",90,6126729.36958822,"90"
"Noise Regime 030","Noise Regime",120,8138401.4896598,"120"
"Noise Regime 030","Noise Regime",150,11721840.2882771,"150"
"Noise Regime 030","Noise Regime",180,43044157.2723091,"180"
"Noise Regime 031","Noise Regime",0,256673,"0"
"Noise Regime 031","Noise Regime",30,521083.325016727,"30"
"Noise Regime 031","Noise Regime",60,851228.03495282,"60"
"Noise Regime 031","Noise Regime",90,1896183.64308953,"90"
"Noise Regime 031","Noise Regime",120,3064552.49989909,"120"
"Noise Regime 031","Noise Regime",150,5312955.00721657,"150"
"Noise Regime 031","Noise Regime",180,6858742.80064506,"180"
"Noise Regime 032","Noise Regime",0,135428,"0"
"Noise Regime 032","Noise Regime",30,239296.778646966,"30"
"Noise Regime 032","Noise Regime",60,441087.589027411,"60"
"Noise Regime 032","Noise Regime",90,949466.304137145,"90"
"Noise Regime 032","Noise Regime",120,1231443.47912814,"120"
"Noise Regime 032","Noise Regime",150,2492634.15442979,"150"
"Noise Regime 032","Noise Regime",180,6062848.83084912,"180"
"Noise Regime 033","Noise Regime",0,275184.698591993,"0"
"Noise Regime 033","Noise Regime",30,533331.330439838,"30"
"Noise Regime 033","Noise Regime",60,801723.687651064,"60"
"Noise Regime 033","Noise Regime",90,1293738.31160882,"90"
"Noise Regime 033","Noise Regime",120,2797876.14247684,"120"
"Noise Regime 033","Noise Regime",150,5453515.65732296,"150"
"Noise Regime 033","Noise Regime",180,11679754.603893,"180"
"Noise Regime 034","Noise Regime",0,338342.101216972,"0"
"Noise Regime 034","Noise Regime",30,650395.879830037,"30"
"Noise Regime 034","Noise Regime",60,1070273.47685758,"60"
"Noise Regime 034","Noise Regime",90,1506806.88475452,"90"
"Noise Regime 034","Noise Regime",120,3981283.86970035,"120"
"Noise Regime 034","Noise Regime",150,5765362.58535153,"150"
"Noise Regime 034","Noise Regime",180,12797919.0587391,"180"
"Noise Regime 035","Noise Regime",0,565075.869199012,"0"
"Noise Regime 035","Noise Regime",30,661609.970124239,"30"
"Noise Regime 035","Noise Regime",60,1828406.86604177,"60"
"Noise Regime 035","Noise Regime",90,2540985.32514024,"90"
"Noise Regime 035","Noise Regime",120,4213155.96931363,"120"
"Noise Regime 035","Noise Regime",150,11393292.3145064,"150"
"Noise Regime 035","Noise Regime",180,20322808.5566846,"180"
"Noise Regime 036","Noise Regime",0,251322.908259012,"0"
"Noise Regime 036","Noise Regime",30,358050.981426518,"30"
"Noise Regime 036","Noise Regime",60,732110.317377108,"60"
"Noise Regime 036","Noise Regime",90,1345727.52807107,"90"
"Noise Regime 036","Noise Regime",120,2382311.7557131,"120"
"Noise Regime 036","Noise Regime",150,5030703.20850307,"150"
"Noise Regime 036","Noise Regime",180,10161428.4727989,"180"
"Noise Regime 037","Noise Regime",0,810229,"0"
"Noise Regime 037","Noise Regime",30,1838796.16987034,"30"
"Noise Regime 037","Noise Regime",60,2557292.05723432,"60"
"Noise Regime 037","Noise Regime",90,2987021.78849953,"90"
"Noise Regime 037","Noise Regime",120,9619942.92146165,"120"
"Noise Regime 037","Noise Regime",150,14110060.0422478,"150"
"Noise Regime 037","Noise Regime",180,25211757.8499458,"180"
"Noise Regime 038","Noise Regime",0,177269.746038738,"0"
"Noise Regime 038","Noise Regime",30,199406.463212229,"30"
"Noise Regime 038","Noise Regime",60,497060.46083527,"60"
"Noise Regime 038","Noise Regime",90,773317.79373524,"90"
"Noise Regime 038","Noise Regime",120,1459665.63857166,"120"
"Noise Regime 038","Noise Regime",150,3081751.51226179,"150"
"Noise Regime 038","Noise Regime",180,4897430.90059985,"180"
"Noise Regime 039","Noise Regime",0,604116,"0"
"Noise Regime 039","Noise Regime",30,1214064.59959007,"30"
"Noise Regime 039","Noise Regime",60,1302945.96671533,"60"
"Noise Regime 039","Noise Regime",90,4255126.70046776,"90"
"Noise Regime 039","Noise Regime",120,5093898.30848775,"120"
"Noise Regime 039","Noise Regime",150,12174012.0942305,"150"
"Noise Regime 039","Noise Regime",180,21478477.1765215,"180"
"Noise Regime 040","Noise Regime",0,935608.257484682,"0"
"Noise Regime 040","Noise Regime",30,1683179.57498023,"30"
"Noise Regime 040","Noise Regime",60,3337104.23256098,"60"
"Noise Regime 040","Noise Regime",90,4821399.42117703,"90"
"Noise Regime 040","Noise Regime",120,9734628.47793791,"120"
"Noise Regime 040","Noise Regime",150,21502672.447176,"150"
"Noise Regime 040","Noise Regime",180,36712498.5487283,"180"
"Noise Regime 041","Noise Regime",0,540259,"0"
"Noise Regime 041","Noise Regime",30,896069.390978674,"30"
"Noise Regime 041","Noise Regime",60,2119538.20983848,"60"
"Noise Regime 041","Noise Regime",90,2164797.83729261,"90"
"Noise Regime 041","Noise Regime",120,4366196.27470813,"120"
"Noise Regime 041","Noise Regime",150,12969755.636563,"150"
"Noise Regime 041","Noise Regime",180,17356119.94495,"180"
"Noise Regime 042","Noise Regime",0,598688,"0"
"Noise Regime 042","Noise Regime",30,1160880.21104351,"30"
"Noise Regime 042","Noise Regime",60,2230206.20048874,"60"
"Noise Regime 042","Noise Regime",90,3268078.78371719,"90"
"Noise Regime 042","Noise Regime",120,6297966.03348477,"120"
"Noise Regime 042","Noise Regime",150,11276333.9845573,"150"
"Noise Regime 042","Noise Regime",180,31166682.1715765,"180"
"Noise Regime 043","Noise Regime",0,914234.819900919,"0"
"Noise Regime 043","Noise Regime",30,1476020.93545186,"30"
"Noise Regime 043","Noise Regime",60,2731564.64874553,"60"
"Noise Regime 043","Noise Regime",90,6232653.63024313,"90"
"Noise Regime 043","Noise Regime",120,8932092.36891658,"120"
"Noise Regime 043","Noise Regime",150,17198776.118076,"150"
"Noise Regime 043","Noise Regime",180,33010556.0530538,"180"
"Noise Regime 044","Noise Regime",0,169595.237859883,"0"
"Noise Regime 044","Noise Regime",30,187662.606986417,"30"
"Noise Regime 044","Noise Regime",60,566487.261066234,"60"
"Noise Regime 044","Noise Regime",90,751153.139978994,"90"
"Noise Regime 044","Noise Regime",120,1739028.79297489,"120"
"Noise Regime 044","Noise Regime",150,1843266.51412828,"150"
"Noise Regime 044","Noise Regime",180,5485215.4390068,"180"
"Noise Regime 045","Noise Regime",0,673375,"0"
"Noise Regime 045","Noise Regime",30,1085564.38859885,"30"
"Noise Regime 045","Noise Regime",60,2300590.15617112,"60"
"Noise Regime 045","Noise Regime",90,4772648.36928758,"90"
"Noise Regime 045","Noise Regime",120,6569904.35200021,"120"
"Noise Regime 045","Noise Regime",150,13070508.1075953,"150"
"Noise Regime 045","Noise Regime",180,30453356.5895408,"180"
"Noise Regime 046","Noise Regime",0,1048764.79268427,"0"
"Noise Regime 046","Noise Regime",30,1785737.96539517,"30"
"Noise Regime 046","Noise Regime",60,2542933.89270089,"60"
"Noise Regime 046","Noise Regime",90,4998451.56591211,"90"
"Noise Regime 046","Noise Regime",120,11311016.5537469,"120"
"Noise Regime 046","Noise Regime",150,19131874.0101911,"150"
"Noise Regime 046","Noise Regime",180,40789335.205071,"180"
"Noise Regime 047","Noise Regime",0,237682,"0"
"Noise Regime 047","Noise Regime",30,501155.276228259,"30"
"Noise Regime 047","Noise Regime",60,717091.905931714,"60"
"Noise Regime 047","Noise Regime",90,1463855.13090534,"90"
"Noise Regime 047","Noise Regime",120,3295618.85783764,"120"
"Noise Regime 047","Noise Regime",150,4594688.36923276,"150"
"Noise Regime 047","Noise Regime",180,10720724.4278923,"180"
"Noise Regime 048","Noise Regime",0,1095568.35377185,"0"
"Noise Regime 048","Noise Regime",30,1817800.66746681,"30"
"Noise Regime 048","Noise Regime",60,2841023.88729998,"60"
"Noise Regime 048","Noise Regime",90,4702455.79096358,"90"
"Noise Regime 048","Noise Regime",120,10726447.605761,"120"
"Noise Regime 048","Noise Regime",150,20062321.0432564,"150"
"Noise Regime 048","Noise Regime",180,36673666.2191089,"180"
"Noise Regime 049","Noise Regime",0,999947,"0"
"Noise Regime 049","Noise Regime",30,1682201.71525758,"30"
"Noise Regime 049","Noise Regime",60,3437944.93691842,"60"
"Noise Regime 049","Noise Regime",90,5557917.11858773,"90"
"Noise Regime 049","Noise Regime",120,13038536.8760963,"120"
"Noise Regime 049","Noise Regime",150,20609257.7220108,"150"
"Noise Regime 049","Noise Regime",180,33219141.0701771,"180"
"Noise Regime 050","Noise Regime",0,568267,"0"
"Noise Regime 050","Noise Regime",30,1353234.51585223,"30"
"Noise Regime 050","Noise Regime",60,1728018.76716016,"60"
"Noise Regime 050","Noise Regime",90,3006728.39464223,"90"
"Noise Regime 050","Noise Regime",120,6877673.44337319,"120"
"Noise Regime 050","Noise Regime",150,12169583.4402648,"150"
"Noise Regime 050","Noise Regime",180,23142605.5635547,"180"
"Noise Regime 051","Noise Regime",0,5312.70630819991,"0"
"Noise Regime 051","Noise Regime",30,6827.89399428724,"30"
"Noise Regime 051","Noise Regime",60,14985.9389175015,"60"
"Noise Regime 051","Noise Regime",90,24602.4728146174,"90"
"Noise Regime 051","Noise Regime",120,55240.9399014269,"120"
"Noise Regime 051","Noise Regime",150,93110.7169945336,"150"
"Noise Regime 051","Noise Regime",180,194114.425157426,"180"
"Noise Regime 052","Noise Regime",0,816542.722456508,"0"
"Noise Regime 052","Noise Regime",30,1340249.41446306,"30"
"Noise Regime 052","Noise Regime",60,2327042.98845552,"60"
"Noise Regime 052","Noise Regime",90,4646877.84217644,"90"
"Noise Regime 052","Noise Regime",120,8722942.78892267,"120"
"Noise Regime 052","Noise Regime",150,20860789.7348209,"150"
"Noise Regime 052","Noise Regime",180,24310015.7702075,"180"
"Noise Regime 053","Noise Regime",0,645678,"0"
"Noise Regime 053","Noise Regime",30,1280193.65252131,"30"
"Noise Regime 053","Noise Regime",60,2407770.05118948,"60"
"Noise Regime 053","Noise Regime",90,3374165.27013122,"90"
"Noise Regime 053","Noise Regime",120,7253099.19057099,"120"
"Noise Regime 053","Noise Regime",150,12885455.8842726,"150"
"Noise Regime 053","Noise Regime",180,27867479.8151274,"180"
"Noise Regime 054","Noise Regime",0,134250,"0"
"Noise Regime 054","Noise Regime",30,246307.459050174,"30"
"Noise Regime 054","Noise Regime",60,489367.551047498,"60"
"Noise Regime 054","Noise Regime",90,610731.854032445,"90"
"Noise Regime 054","Noise Regime",120,1410997.17778506,"120"
"Noise Regime 054","Noise Regime",150,2929027.9436202,"150"
"Noise Regime 054","Noise Regime",180,4527737.10239449,"180"
"Noise Regime 055","Noise Regime",0,577520,"0"
"Noise Regime 055","Noise Regime",30,938085.305811105,"30"
"Noise Regime 055","Noise Regime",60,1631411.74581212,"60"
"Noise Regime 055","Noise Regime",90,3389065.14399245,"90"
"Noise Regime 055","Noise Regime",120,6034762.93245464,"120"
"Noise Regime 055","Noise Regime",150,13051208.0367896,"150"
"Noise Regime 055","Noise Regime",180,25986855.7970781,"180"
"Noise Regime 056","Noise Regime",0,689345.310025821,"0"
"Noise Regime 056","Noise Regime",30,1172676.89927699,"30"
"Noise Regime 056","Noise Regime",60,2354372.16291889,"60"
"Noise Regime 056","Noise Regime",90,4063967.72770719,"90"
"Noise Regime 056","Noise Regime",120,7424511.34530443,"120"
"Noise Regime 056","Noise Regime",150,15245692.2062886,"150"
"Noise Regime 056","Noise Regime",180,20279577.4255154,"180"
"Noise Regime 057","Noise Regime",0,529712.017001193,"0"
"Noise Regime 057","Noise Regime",30,942047.009534396,"30"
"Noise Regime 057","Noise Regime",60,1530755.06264469,"60"
"Noise Regime 057","Noise Regime",90,2970269.29227766,"90"
"Noise Regime 057","Noise Regime",120,5859599.42233342,"120"
"Noise Regime 057","Noise Regime",150,6980514.91957096,"150"
"Noise Regime 057","Noise Regime",180,16759825.9354396,"180"
"Noise Regime 058","Noise Regime",0,62120,"0"
"Noise Regime 058","Noise Regime",30,99598.4080017802,"30"
"Noise Regime 058","Noise Regime",60,186579.875004931,"60"
"Noise Regime 058","Noise Regime",90,389095.362677753,"90"
"Noise Regime 058","Noise Regime",120,516843.075551745,"120"
"Noise Regime 058","Noise Regime",150,1410781.95656155,"150"
"Noise Regime 058","Noise Regime",180,1533842.24563256,"180"
"Noise Regime 059","Noise Regime",0,47782,"0"
"Noise Regime 059","Noise Regime",30,72987.4721743111,"30"
"Noise Regime 059","Noise Regime",60,164593.26338415,"60"
"Noise Regime 059","Noise Regime",90,283872.314927401,"90"
"Noise Regime 059","Noise Regime",120,502943.496545614,"120"
"Noise Regime 059","Noise Regime",150,625637.332084281,"150"
"Noise Regime 059","Noise Regime",180,1401367.38887812,"180"
"Noise Regime 060","Noise Regime",0,501213,"0"
"Noise Regime 060","Noise Regime",30,804121.090711581,"30"
