"ID","wf1_group","wf2_group","r_corr","pra_linear","mandel_p_val","concavity","r2_linear","r2_adj_linear","mandel_stats"
"Saturation 001","Poor Linearity","Saturation",0.90951,65.989937733181,0.00322489451796597,-26.5801489307645,0.827208,0.79265,39.8204611341154
"Saturation 002","Poor Linearity","Saturation",0.908328,65.122680183786,0.00210062032970813,-24.1966011438231,0.82506,0.790072,50.1270415361164
"Saturation 003","Poor Linearity","Saturation",0.920774,64.5537549627972,0.00231147197739827,-21.5836656409182,0.847824,0.817389,47.6319825841093
"Saturation 004","Poor Linearity","Saturation",0.920208,65.0598665516209,0.00243813511517197,-29.0484254586324,0.846783,0.81614,46.2913933028733
"Saturation 005","Poor Linearity","Saturation",0.904358,70.611795506375,0.00316697406894196,-40.8655600730321,0.817862,0.781435,40.2129225024744
"Saturation 006","Poor Linearity","Saturation",0.913846,71.7288148096571,0.00135121356827892,-8.54608892842512,0.835114,0.802137,63.3161675625501
"Saturation 007","Poor Linearity","Saturation",0.918752,71.7059076300267,0.00157033117653278,-30.6720010468336,0.844104,0.812925,58.4934912705305
"Saturation 008","Poor Linearity","Saturation",0.913474,71.2344564492073,0.00213941613555775,-12.2014401815709,0.834435,0.801322,49.6404005232269
"Saturation 009","Poor Linearity","Saturation",0.905224,69.9244714373784,0.000973849890554862,-36.7184651530206,0.81943,0.783316,75.1702422070114
"Saturation 010","Poor Linearity","Saturation",0.915517,67.2388293594726,0.00356031588233953,-16.3133481150092,0.838172,0.805807,37.7394164349321
"Saturation 011","Poor Linearity","Saturation",0.91821,69.739956893928,0.00173844464219766,-27.231300602927,0.84311,0.811732,55.4294887953447
"Saturation 012","Poor Linearity","Saturation",0.909614,73.5977447525961,0.00427813273128983,-6.80962611349945,0.827397,0.792877,34.1395125474801
"Saturation 013","Poor Linearity","Saturation",0.929019,76.9776110305082,0.00102773851262939,-36.5223218813332,0.863076,0.835691,73.0849845689639
"Saturation 014","Poor Linearity","Saturation",0.933566,77.0854522837643,0.000489541901848118,-17.6794374821878,0.871545,0.845855,107.382721447496
"Saturation 015","Poor Linearity","Saturation",0.911341,72.6156145959817,0.00338823169194398,-32.719990003488,0.830543,0.796651,38.7684566682108
"Saturation 016","Poor Linearity","Saturation",0.914822,69.7288909639776,0.0015599003708413,-16.9880404127102,0.836899,0.804278,58.6997668801658
"Saturation 017","Poor Linearity","Saturation",0.906973,75.7354702744392,0.00842364202360516,-5.50575282910505,0.8226,0.78712,23.3882471836203
"Saturation 018","Poor Linearity","Saturation",0.908658,79.0687117927747,0.00901592697060102,-31.7309212477696,0.825659,0.790791,22.4979344696665
"Saturation 019","Poor Linearity","Saturation",0.91172,63.4139410052099,0.00267076426720737,-1.30471436497187,0.831234,0.797481,44.0825564073981
"Saturation 020","Poor Linearity","Saturation",0.919583,72.8067870190134,0.00129462419491852,-0.759105730236201,0.845634,0.81476,64.7566952631085
"Saturation 021","Poor Linearity","Saturation",0.894581,55.3113082712054,0.00901330988149483,-21.5808194074541,0.800275,0.76033,22.501674139804
"Saturation 022","Poor Linearity","Saturation",0.914326,69.8686137569885,0.000848057830590154,-29.7604811132194,0.835991,0.80319,80.7896996084539
"Saturation 023","Poor Linearity","Saturation",0.920761,76.8899262110611,0.00228900276998847,-18.6392550121962,0.8478,0.81736,47.8813467364387
"Saturation 024","Poor Linearity","Saturation",0.90901,75.1310056897804,0.0042542565112818,-15.4194553896023,0.8263,0.791559,34.2443880734097
"Saturation 025","Poor Linearity","Saturation",0.901821,58.6136255125479,0.00513740623418111,-38.9432231553734,0.81328,0.775937,30.8667309904538
"Saturation 026","Poor Linearity","Saturation",0.916476,70.0228804230662,0.0025578463647039,-28.8522188118264,0.839927,0.807913,45.1170625851291
"Saturation 027","Poor Linearity","Saturation",0.913172,70.6347989249355,0.00317422166780035,-36.5078129671741,0.833884,0.80066,40.1632262194998
"Saturation 028","Poor Linearity","Saturation",0.935825,75.1887957741337,0.000150696121273697,-23.1477253195233,0.875768,0.850921,196.208401195781
"Saturation 029","Poor Linearity","Saturation",0.925043,72.7474598379706,0.000951476543550325,-35.9549853503322,0.855705,0.826846,76.0876057081387
