"ID","Dilution Batch Name","x","y","Sample Name"
"Saturation 001","Saturation",0,6487.95,"0"
"Saturation 001","Saturation",30,263398.607969694,"30"
"Saturation 001","Saturation",60,458372.915563188,"60"
"Saturation 001","Saturation",90,516949.300147459,"90"
"Saturation 001","Saturation",120,571478.850070323,"120"
"Saturation 001","Saturation",150,613376.068410571,"150"
"Saturation 001","Saturation",180,623090.697664915,"180"
"Saturation 002","Saturation",0,5834.22,"0"
"Saturation 002","Saturation",30,232282.26369817,"30"
"Saturation 002","Saturation",60,405556.447670577,"60"
"Saturation 002","Saturation",90,468986.467423878,"90"
"Saturation 002","Saturation",120,516427.427941384,"120"
"Saturation 002","Saturation",150,542224.394396072,"150"
"Saturation 002","Saturation",180,556692.670011673,"180"
"Saturation 003","Saturation",0,5958.44727830951,"0"
"Saturation 003","Saturation",30,190180.533711106,"30"
"Saturation 003","Saturation",60,375828.420200393,"60"
"Saturation 003","Saturation",90,434708.941688668,"90"
"Saturation 003","Saturation",120,478093.926356957,"120"
"Saturation 003","Saturation",150,513826.682410641,"150"
"Saturation 003","Saturation",180,527817.089516351,"180"
"Saturation 004","Saturation",0,7388.79,"0"
"Saturation 004","Saturation",30,260797.895608125,"30"
"Saturation 004","Saturation",60,503926.033497455,"60"
"Saturation 004","Saturation",90,590223.208845384,"90"
"Saturation 004","Saturation",120,635862.279374987,"120"
"Saturation 004","Saturation",150,695138.799039538,"150"
"Saturation 004","Saturation",180,709450.571865251,"180"
"Saturation 005","Saturation",0,11219.6396713459,"0"
"Saturation 005","Saturation",30,442004.991950712,"30"
"Saturation 005","Saturation",60,674870.040271243,"60"
"Saturation 005","Saturation",90,804035.567871816,"90"
"Saturation 005","Saturation",120,879028.395638835,"120"
"Saturation 005","Saturation",150,918686.620327691,"150"
"Saturation 005","Saturation",180,946460.607867909,"180"
"Saturation 006","Saturation",0,2089.09,"0"
"Saturation 006","Saturation",30,84982.4102831704,"30"
"Saturation 006","Saturation",60,127556.522528414,"60"
"Saturation 006","Saturation",90,177169.806215056,"90"
"Saturation 006","Saturation",120,187614.690086613,"120"
"Saturation 006","Saturation",150,191583.1821524,"150"
"Saturation 006","Saturation",180,199532.617943273,"180"
"Saturation 007","Saturation",0,8736.98644890855,"0"
"Saturation 007","Saturation",30,322070.4016766,"30"
"Saturation 007","Saturation",60,518479.091966043,"60"
"Saturation 007","Saturation",90,621991.580549003,"90"
"Saturation 007","Saturation",120,687542.765497934,"120"
"Saturation 007","Saturation",150,737552.070158223,"150"
"Saturation 007","Saturation",180,748708.736640556,"180"
"Saturation 008","Saturation",0,3340.48936065798,"0"
"Saturation 008","Saturation",30,128745.350558552,"30"
"Saturation 008","Saturation",60,203135.877616231,"60"
"Saturation 008","Saturation",90,247225.709685545,"90"
"Saturation 008","Saturation",120,267634.28082283,"120"
"Saturation 008","Saturation",150,284298.314326122,"150"
"Saturation 008","Saturation",180,292416.397905863,"180"
"Saturation 009","Saturation",0,9062.02479548861,"0"
"Saturation 009","Saturation",30,373445.573196551,"30"
"Saturation 009","Saturation",60,568275.154139834,"60"
"Saturation 009","Saturation",90,708956.967765389,"90"
"Saturation 009","Saturation",120,790401.08332924,"120"
"Saturation 009","Saturation",150,800677.132243021,"150"
"Saturation 009","Saturation",180,818126.098784597,"180"
"Saturation 010","Saturation",0,4164.1,"0"
"Saturation 010","Saturation",30,162115.186040876,"30"
"Saturation 010","Saturation",60,286653.304562247,"60"
"Saturation 010","Saturation",90,328172.859580402,"90"
"Saturation 010","Saturation",120,357803.341400922,"120"
"Saturation 010","Saturation",150,387299.404694111,"150"
"Saturation 010","Saturation",180,398390.351743284,"180"
"Saturation 011","Saturation",0,7295.66562289133,"0"
